contradiction_id,node_id_1,node_id_2,relationship_type,description,conflicting_sources,resolution_status
CONTR_32,,,contradicts,Существующие методики определения межремонтного периода не учитывают влияния горнотехнических условий функционирования техники.,ГП № 1-2024.pdf,open
CONTR_33,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_34,,,contradicts,Вопросы оценки минимального промышленного и бортового содержания ценных компонентов и вредных примесей в рудах при переходе на циклично-поточную технологию остаются недостаточно изученными.,ГП № 1-2024.pdf,open
CONTR_35,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_36,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_37,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_38,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_39,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_40,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_41,,,contradicts,"Противоречие между необходимостью развития золотодобывающей отрасли и сдерживающими факторами, такими как плоская шкала корпоративных налогов",ГП № 1-2024.pdf,open
CONTR_42,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_43,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_44,,,contradicts,Противоречие в способности диатомитов адсорбировать тяжёлые металлы,ГП № 1-2024.pdf,open
CONTR_45,,,contradicts,Противоречий в тексте не обнаружено.,ГП № 1-2024.pdf,open
CONTR_46,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_47,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_48,,,contradicts,Влияние скорости нагружения на прочность скальных пород,ГП № 1-2024.pdf,open
CONTR_49,,,contradicts,Отсутствие противоречий в представленном тексте.,ГП № 1-2024.pdf,open
CONTR_50,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_51,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_52,,,contradicts,нет противоречий,ГП № 1-2024.pdf,open
CONTR_53,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_54,,,contradicts,,ГП № 1-2024.pdf,open
CONTR_55,,,contradicts,Меньшие потери при валовой отработке пластов приводят к значительному увеличению разубоживания угля.,ГП № 1-2024.pdf,open
CONTR_56,,,contradicts,Изменение геометрии футеровок нижнего ряда чаши дробилок,ГП № 1-2024.pdf,open
CONTR_57,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_58,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_59,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_60,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_61,,,contradicts,Изначально результаты тестовой эксплуатации шин Triangle были неоднозначными,ГП № 2-2024.pdf,open
CONTR_62,,,contradicts,Отсутствие необходимых функций в программном обеспечении Micromine,ГП № 2-2024.pdf,open
CONTR_63,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_64,,,contradicts,Нет информации о противоречиях,ГП № 2-2024.pdf,open
CONTR_65,,,contradicts,Противоречия в подходах к разработке АСУ,ГП № 2-2024.pdf,open
CONTR_66,,,contradicts,Конкуренция на рынке редукторов в России,ГП № 2-2024.pdf,open
CONTR_67,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_68,,,contradicts,Противоречия между самостоятельными разработками и обращением к вендору,ГП № 2-2024.pdf,open
CONTR_69,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_70,,,contradicts,Проблемы с сертификацией комплектующих,ГП № 2-2024.pdf,open
CONTR_71,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_72,,,contradicts,Отсутствие готовых эффективных решений по регенерации некондиционных эмульсионных матриц в России,ГП № 2-2024.pdf,open
CONTR_73,,,contradicts,Отсутствие законодательно закрепленной утилизации эмульсионной матрицы в Российской Федерации,ГП № 2-2024.pdf,open
CONTR_74,,,contradicts,Нет противоречий в статье,ГП № 2-2024.pdf,open
CONTR_75,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_76,,,contradicts,"Ходимость шин из дружественных стран меньше, чем у проверенных импортных брендов",ГП № 2-2024.pdf,open
CONTR_77,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_78,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_79,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_80,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_81,,,contradicts,Сопротивление руководителей производственных подразделений организации деятельности по формированию контуров контроля технологического процесса,ГП № 2-2024.pdf,open
CONTR_82,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_83,,,contradicts,Проблемы при использовании компримированного природного газа в условиях экстремально низких температур,ГП № 2-2024.pdf,open
CONTR_84,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_85,,,contradicts,Отсутствие технических решений для использования газобаллонного оборудования в условиях переменных термобарических условий,ГП № 2-2024.pdf,open
CONTR_86,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_87,,,contradicts,Общепринятый подход к учёту местных сопротивлений требует уточнения с учётом существующих условий ведения горных работ.,ГП № 2-2024.pdf,open
CONTR_88,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_89,,,contradicts,Нет противоречий,ГП № 2-2024.pdf,open
CONTR_90,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_91,,,contradicts,Необходимость пересмотра допущений о местных сопротивлениях в угольных шахтах,ГП № 2-2024.pdf,open
CONTR_92,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_93,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_94,,,contradicts,Противоречий в тексте не обнаружено,ГП № 2-2024.pdf,open
CONTR_95,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_96,,,contradicts,Фактический угол растекания сгущенных хвостов отличается от проектного,ГП № 2-2024.pdf,open
CONTR_97,,,contradicts,Редкая замена насоса может привести к значительному увеличению расхода топлива и снижению производительности экскаватора,ГП № 2-2024.pdf,open
CONTR_98,,,contradicts,Отсутствие методов установления оптимальных наработок между заменами насосов гидравлического экскаватора,ГП № 2-2024.pdf,open
CONTR_99,,,contradicts,Изменение реологических параметров сгущенных хвостов в зависимости от места отбора проб,ГП № 2-2024.pdf,open
CONTR_100,,,contradicts,Противоречий в тексте не обнаружено,ГП № 2-2024.pdf,open
CONTR_101,,,contradicts,"Несоответствие параметров, создаваемых намывом искусственных массивов, по сравнению с проектными решениями",ГП № 2-2024.pdf,open
CONTR_102,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_103,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_104,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_105,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_106,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_107,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_108,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_109,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_110,,,contradicts,Необходимость учета особенностей технологии изготовления деталей соединений и специфики применяемых материалов при разработке предложений по повышению ресурса рабочих колес и других быстроизнашиваемых элементов.,ГП № 2-2024.pdf,open
CONTR_111,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_112,,,contradicts,,ГП № 2-2024.pdf,open
CONTR_113,,,contradicts,Противоречия в данных о выбросах СО2,ГП № 2-2024.pdf,open
CONTR_114,,,contradicts,Противоречия между владельцем ресурса и инвестором по поводу оценки стоимости месторождения и распределения доходов,ГП № 2-2024.pdf,open
CONTR_115,,,contradicts,"Отсутствие правовых норм выделения, расчёта, определения границ горной ренты и её составляющих типов.",ГП № 2-2024.pdf,open
CONTR_116,,,contradicts,Противоречие в оценках ассимиляционного потенциала лесных экосистем,ГП № 2-2024.pdf,open
CONTR_117,,,contradicts,"Противоречие между стоимостной оценкой стоимости капитала и премии за капитал и приростом запасов, ростом цены на продукт, окупаемостью капитала, ростом производства и производительности",ГП № 2-2024.pdf,open
CONTR_118,,,contradicts,"Противоречие между системой окупаемости капитала и системой кодов западного типа, которая оценивает резервы как часть ресурсов, извлекаемых при экономической приемлемости.",ГП № 2-2024.pdf,open
CONTR_119,,,contradicts,Отсутствие общепризнанного мнения о горной ренте и её распределении.,ГП № 2-2024.pdf,open
CONTR_120,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_121,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_122,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_123,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_124,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_125,,,contradicts,Нет противоречий в предоставленном тексте.,ГП № 3-2024.pdf,open
CONTR_126,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_127,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_128,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_129,,,contradicts,Ограничение области применения устройств выявления повреждённой фазы,ГП № 3-2024.pdf,open
CONTR_130,,,contradicts,Ограниченность защитной функции коммутационного устройства,ГП № 3-2024.pdf,open
CONTR_131,,,contradicts,Нет противоречий в тексте,ГП № 3-2024.pdf,open
CONTR_132,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_133,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_134,,,contradicts,Противоречие между стремлением свести габариты и металлоемкость ДПУ к минимуму и риском «подпрессовки» дробилки рудой из разгрузочного бункера,ГП № 3-2024.pdf,open
CONTR_135,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_136,,,contradicts,Нет противоречий,ГП № 3-2024.pdf,open
CONTR_137,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_138,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_139,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_140,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_141,,,contradicts,"Преобразование Фурье не обеспечивает информацией о тренде изменения частотных параметров со временем, что необходимо для прогнозных оценок.",ГП № 3-2024.pdf,open
CONTR_142,,,contradicts,Сложности применения искусственных нейронных сетей в анализе сигналов,ГП № 3-2024.pdf,open
CONTR_143,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_144,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_145,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_146,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_147,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_148,,,contradicts,Определение объема цифровых технологий для внедрения,ГП № 3-2024.pdf,open
CONTR_149,,,contradicts,Оценка экономической целесообразности цифровизации может быть затруднена из-за множества факторов.,ГП № 3-2024.pdf,open
CONTR_150,,,contradicts,Влияние человеческого фактора на качество компонентов взрывчатого вещества,ГП № 3-2024.pdf,open
CONTR_151,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_152,,,contradicts,нет противоречий,ГП № 3-2024.pdf,open
CONTR_153,,,contradicts,Противоречия в трактовке термина 'геоинформатика'.,ГП № 3-2024.pdf,open
CONTR_154,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_155,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_156,,,contradicts,Недостаточность информации о месторождении может привести к снижению ожидаемых технико-экономических показателей проекта,ГП № 3-2024.pdf,open
CONTR_157,,,contradicts,Недостаточность знаний о месторождении ведет к неопределенности и риску недостижения проектных показателей.,ГП № 3-2024.pdf,open
CONTR_158,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_159,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_160,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_161,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_162,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_163,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_164,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_165,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_166,,,contradicts,Влияние экологических требований на производство оксида магния в Китае,ГП № 3-2024.pdf,open
CONTR_167,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_168,,,contradicts,Ограниченные возможности добычи природного магнезитового сырья и необходимость использования альтернативных техногенных источников сырья.,ГП № 3-2024.pdf,open
CONTR_169,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_170,,,contradicts,Противоречия в углах наклона траектории отработки забоя для механических лопат,ГП № 3-2024.pdf,open
CONTR_171,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_172,,,contradicts,Проблемы развития угольной компании,ГП № 3-2024.pdf,open
CONTR_173,,,contradicts,,ГП № 3-2024.pdf,open
CONTR_174,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_175,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_176,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_177,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_178,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_179,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_180,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_181,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_182,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_183,,,contradicts,Срыв поставок техники иностранными поставщиками,ГП № 4-2024.pdf,open
CONTR_184,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_185,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_186,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_187,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_188,,,contradicts,Проблема высоких температур в шахтах,ГП № 4-2024.pdf,open
CONTR_189,,,contradicts,Противоречие между использованием традиционных и новых источников энергии.,ГП № 4-2024.pdf,open
CONTR_190,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_191,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_192,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_193,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_194,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_195,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_196,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_197,,,contradicts,Отсутствие информации о конкретных технологиях и их эффективности,ГП № 4-2024.pdf,open
CONTR_198,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_199,,,contradicts,Нет противоречий,ГП № 4-2024.pdf,open
CONTR_200,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_201,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_202,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_203,,,contradicts,Связь между частотой схода оползней и площадью водосбора не обнаружена.,ГП № 4-2024.pdf,open
CONTR_204,,,contradicts,Отсутствие требований к элементарному расчёту естественного проветривания в ФНиП,ГП № 4-2024.pdf,open
CONTR_205,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_206,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_207,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_208,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_209,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_210,,,contradicts,Противоречие между необходимостью водопонижения и его негативным воздействием на окружающую среду.,ГП № 4-2024.pdf,open
CONTR_211,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_212,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_213,,,contradicts,Нет противоречий,ГП № 4-2024.pdf,open
CONTR_214,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_215,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_216,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_217,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_218,,,contradicts,Не выявлена прямая зависимость между температурой пород и концентрацией оксида углерода.,ГП № 4-2024.pdf,open
CONTR_219,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_220,,,contradicts,Отсутствие четкой зависимости между температурой пород и концентрацией оксида углерода,ГП № 4-2024.pdf,open
CONTR_221,,,contradicts,Отсутствие прямой зависимости между температурой пород и концентрацией выделяющегося оксида углерода,ГП № 4-2024.pdf,open
CONTR_222,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_223,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_224,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_225,,,contradicts,Сложность определения генезиса провалов в регионах с развитой горнодобывающей промышленностью,ГП № 4-2024.pdf,open
CONTR_226,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_227,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_228,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_229,,,contradicts,Противоречие между расчетными размерами зон необратимых деформаций и экспериментальными данными,ГП № 4-2024.pdf,open
CONTR_230,,,contradicts,Нет противоречий,ГП № 4-2024.pdf,open
CONTR_231,,,contradicts,Эффективность цифровых решений в горном производстве,ГП № 4-2024.pdf,open
CONTR_232,,,contradicts,Сложность перехода на удаленное управление,ГП № 4-2024.pdf,open
CONTR_233,,,contradicts,Условность разделения проекта на этапы,ГП № 4-2024.pdf,open
CONTR_234,,,contradicts,,ГП № 4-2024.pdf,open
CONTR_235,,,contradicts,Нет противоречий,ГП № 4-2024.pdf,open
CONTR_236,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_237,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_238,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_239,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_240,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_241,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_242,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_243,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_244,,,contradicts,Противоречия в классификациях прочностных свойств горных пород,ГП № 5-2024.pdf,open
CONTR_245,,,contradicts,Результаты расчета скорости детонации ЭВВ оказываются завышенными либо существенно заниженными по отношению к экспериментально измеренным значениям.,ГП № 5-2024.pdf,open
CONTR_246,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_247,,,contradicts,Отсутствие единых принципов в организации АСУ и различные типы ЭВМ вызывают несовместимость ПО,ГП № 5-2024.pdf,open
CONTR_248,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_249,,,contradicts,Противоречие между системами разработки,ГП № 5-2024.pdf,open
CONTR_250,,,contradicts,Противоречия в параметрах временного предохранительного целика на рудниках «Мир» и «Пионер»,ГП № 5-2024.pdf,open
CONTR_251,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_252,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_253,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_254,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_255,,,contradicts,Низкая заинтересованность в переработке отходов,ГП № 5-2024.pdf,open
CONTR_256,,,contradicts,"Зарубежные страны обладают меньшими территориями и высокой плотностью населения, в отличие от России, где отходы часто находятся далеко от глаз общественности и не вызывают беспокойства.",ГП № 5-2024.pdf,open
CONTR_257,,,contradicts,Низкая заинтересованность в переработке или использовании промышленных отходов,ГП № 5-2024.pdf,open
CONTR_258,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_259,,,contradicts,Существующие подходы к определению зон наведенной трещиноватости являются весьма ориентировочными и не учитывают глубину расположения взрываемого заряда.,ГП № 5-2024.pdf,open
CONTR_260,,,contradicts,Противоречия между различными моделями для оценки зон разрушения вокруг удлиненного скважинного заряда.,ГП № 5-2024.pdf,open
CONTR_261,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_262,,,contradicts,Отсутствие единого представления о механизме разрушения среды при взрыве,ГП № 5-2024.pdf,open
CONTR_263,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_264,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_265,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_266,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_267,,,contradicts,Низкий уровень осведомленности о проектах и инициативах в области экологии среди респондентов.,ГП № 5-2024.pdf,open
CONTR_268,,,contradicts,Противоречие между устойчивостью связи инновационности с этнокультурным фактором и возможностью его купирования при целенаправленной работе.,ГП № 5-2024.pdf,open
CONTR_269,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_270,,,contradicts,"Различия в оценках запасов нефти, полученных разными методами",ГП № 5-2024.pdf,open
CONTR_271,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_272,,,contradicts,Расхождения между прогнозируемыми и реальными запасами нефти при использовании объемного метода.,ГП № 5-2024.pdf,open
CONTR_273,,,contradicts,Различия в оценках запасов нефти при применении объёмного метода,ГП № 5-2024.pdf,open
CONTR_274,,,contradicts,Нет противоречий в тексте.,ГП № 5-2024.pdf,open
CONTR_275,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_276,,,contradicts,Нет противоречий в тексте,ГП № 5-2024.pdf,open
CONTR_277,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_278,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_279,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_280,,,contradicts,Противоречий в тексте не обнаружено,ГП № 5-2024.pdf,open
CONTR_281,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_282,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_283,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_284,,,contradicts,Неясность генезиса ДКП-2019,ГП № 5-2024.pdf,open
CONTR_285,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_286,,,contradicts,Отсутствие однозначных объяснений резкого роста изменений площади провала в четвертый год измерений,ГП № 5-2024.pdf,open
CONTR_287,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_288,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_289,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_290,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_291,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_292,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_293,,,contradicts,Противоречий в тексте не обнаружено.,ГП № 5-2024.pdf,open
CONTR_294,,,contradicts,Отсутствие апробированных методик и рекомендаций по оценке режимов работы карьерных экскаваторов в Узбекистане,ГП № 5-2024.pdf,open
CONTR_295,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_296,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_297,,,contradicts,Противоречие в представлениях о структуре угольных пластов,ГП № 5-2024.pdf,open
CONTR_298,,,contradicts,Свойства и признаки в рекомендациях не отражают свойств газодинамической опасности.,ГП № 5-2024.pdf,open
CONTR_299,,,contradicts,Противоречие в достоверности определения свойств угля в пласте,ГП № 5-2024.pdf,open
CONTR_300,,,contradicts,Противоречие в определении газодинамического явления и горного удара,ГП № 5-2024.pdf,open
CONTR_301,,,contradicts,Противоречие между теоретическими концепциями и применяемыми методами предотвращения газодинамических явлений,ГП № 5-2024.pdf,open
CONTR_302,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_303,,,contradicts,"Противоречие между существующими представлениями о газодинамических явлениях и новой гипотезой, сформулированной в статье.",ГП № 5-2024.pdf,open
CONTR_304,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_305,,,contradicts,,ГП № 5-2024.pdf,open
CONTR_306,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_307,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_308,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_309,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_310,,,contradicts,Проблема недостаточного наполнения ковшей при различных траекториях движения экскаватора,ГП № 6-2024.pdf,open
CONTR_311,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_312,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_313,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_314,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_315,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_316,,,contradicts,Противоречий в тексте не обнаружено,ГП № 6-2024.pdf,open
CONTR_317,,,contradicts,Противоречие в подходах к моделированию загрязнения атмосферы карьерного пространства,ГП № 6-2024.pdf,open
CONTR_318,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_319,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_320,,,contradicts,Ограничения использования спутниковых снимков среднего пространственного разрешения для мониторинга динамики восстановления природных экосистем вблизи горнопромышленных объектов,ГП № 6-2024.pdf,open
CONTR_321,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_322,,,contradicts,Противоречие между ожидаемым уменьшением даты максимальной вегетации из-за потепления климата и фактическим увеличением даты на большинстве мониторинговых полигонов,ГП № 6-2024.pdf,open
CONTR_323,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_324,,,contradicts,,ГП № 6-2024.pdf,open
